aug_id,mean_gain,selection_frequency,oracle_frequency,augmentation_name,transform_class
aug_000,0.0,1.0,1.0,identity,identity
aug_001,-1.1663637,0.0504,0.1346,square_r90,SquareSymmetry
aug_002,-0.98702013,0.0044,0.1284,square_r180,SquareSymmetry
aug_003,-1.1530104,0.0382,0.1456,square_r270,SquareSymmetry
aug_004,-1.0013645,0.0034,0.129,square_vertical,SquareSymmetry
aug_005,-0.008836119,0.001,0.244,square_horizontal,SquareSymmetry
aug_006,-0.0055251564,0.0,0.1956,rotate_minus_5,Rotate
aug_007,0.0010206528,0.0,0.1892,rotate_plus_5,Rotate
aug_008,-0.01345869,0.0204,0.2056,rotate_minus_10,Rotate
aug_009,-0.009955038,0.1484,0.2168,rotate_plus_10,Rotate
aug_010,-0.057145946,0.7314,0.2312,rotate_minus_20,Rotate
aug_011,-0.037066396,0.6024,0.2366,rotate_plus_20,Rotate
aug_012,-0.12640244,0.525,0.2154,rotate_minus_30,Rotate
aug_013,-0.1472703,0.5036,0.2148,rotate_plus_30,Rotate
aug_014,-0.2783718,0.2558,0.1978,rotate_minus_40,Rotate
aug_015,-0.29168642,0.1146,0.1942,rotate_plus_40,Rotate
aug_016,-0.20357308,0.68,0.1872,safe_rotate_minus_20,SafeRotate
aug_017,-0.20071027,0.4792,0.1808,safe_rotate_plus_20,SafeRotate
aug_018,-0.67404836,0.0638,0.175,safe_rotate_minus_40,SafeRotate
aug_019,-0.6949463,0.0482,0.176,safe_rotate_plus_40,SafeRotate
aug_020,-0.09234027,0.9502,0.1806,scale_080,Affine
aug_021,-0.013309189,0.642,0.1914,scale_090,Affine
aug_022,0.003964765,0.0,0.1766,scale_095,Affine
aug_023,0.0015025177,0.0,0.1996,scale_105,Affine
aug_024,-0.0066195875,0.0,0.2428,scale_110,Affine
aug_025,-0.02572081,0.0346,0.2868,scale_120,Affine
aug_026,-0.0038852135,0.0352,0.1966,shear_x_minus_5,Affine
aug_027,-0.0052818214,0.0,0.1952,shear_x_plus_5,Affine
aug_028,0.0019146305,0.0,0.2074,shear_y_minus_5,Affine
aug_029,0.011086328,0.0004,0.205,shear_y_plus_5,Affine
aug_030,-0.011975387,0.0748,0.1484,brightness_minus_10,RandomBrightnessContrast
aug_031,-0.0076379813,0.0004,0.1386,brightness_plus_10,RandomBrightnessContrast
aug_032,-0.05237435,0.7286,0.2014,brightness_minus_20,RandomBrightnessContrast
aug_033,-0.020602861,0.071,0.1912,brightness_plus_20,RandomBrightnessContrast
aug_034,-0.00041211068,0.0,0.1044,contrast_minus_10,RandomBrightnessContrast
aug_035,-0.0032145225,0.0,0.1104,contrast_plus_10,RandomBrightnessContrast
aug_036,0.00019993512,0.0002,0.149,contrast_minus_20,RandomBrightnessContrast
aug_037,-0.005392567,0.0374,0.158,contrast_plus_20,RandomBrightnessContrast
aug_038,-0.015323697,0.1212,0.19,brightness_contrast_minus_10,RandomBrightnessContrast
