split,strategy,forwards_per_image,relative_compute_vs_all
public_val,learned_topk_uniform,17.0,0.17
public_val,global_weighted_tta,100.0,1.0
public_val,class_weighted_tta,100.0,1.0
private,clean,1.0,0.01
private,fixed_light_tta,17.0,0.17
private,random_topk,17.0,0.17
private,all_100_uniform,100.0,1.0
private,learned_topk_uniform,17.0,0.17
private,learned_topk_softmax_weighted,17.0,0.17
private,oracle_topk_uniform,17.0,0.17
private,global_weighted_tta,100.0,1.0
private,class_weighted_tta,100.0,1.0
