strategy,k,top1,top5,nll,ece,forwards_per_image,relative_compute_vs_all,top1_delta_pp_vs_clean,top1_oracle_delta_pp,top1_oracle_capture,nll_delta_vs_clean,nll_oracle_delta,nll_oracle_capture
clean,0,0.812,0.9494,0.8559974431991577,0.0766943294346332,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
learned_topk_uniform,1,0.8098,0.9512,0.8153165578842163,0.056184841210395,2.0,0.02,-0.220000000000009,7.879999999999998,-0.0279187817258894,-0.0406808853149414,-0.4729974865913391,0.086006557049824
oracle_topk_uniform,1,0.8908,0.9782,0.3829999566078186,0.0140173030942678,2.0,0.02,7.879999999999998,7.879999999999998,1.0,-0.4729974865913391,-0.4729974865913391,1.0
learned_topk_uniform,2,0.81,0.9528,0.8068897128105164,0.0479025466412305,3.0,0.03,-0.2000000000000001,9.699999999999998,-0.0206185567010309,-0.0491077303886413,-0.5013728737831116,0.0979465243464384
oracle_topk_uniform,2,0.909,0.9774,0.3546245694160461,0.0222760065160691,3.0,0.03,9.699999999999998,9.699999999999998,1.0,-0.5013728737831116,-0.5013728737831116,1.0
learned_topk_uniform,4,0.8132,0.9528,0.7892784476280212,0.0483654395744204,5.0,0.05,0.1199999999999978,9.58,0.0125260960334027,-0.0667189955711364,-0.5001960694789886,0.1333856854185838
oracle_topk_uniform,4,0.9078,0.976,0.355801373720169,0.0160430880516767,5.0,0.05,9.58,9.58,1.0,-0.5001960694789886,-0.5001960694789886,1.0
learned_topk_uniform,8,0.8154,0.9564,0.7607125043869019,0.0433551674693823,9.0,0.09,0.3399999999999958,8.619999999999994,0.0394431554524357,-0.0952849388122558,-0.47165247797966,0.2020236153966841
oracle_topk_uniform,8,0.8982,0.9736,0.3843449652194977,0.0122181526750326,9.0,0.09,8.619999999999994,8.619999999999994,1.0,-0.47165247797966,-0.47165247797966,1.0
learned_topk_uniform,16,0.819,0.9576,0.7457028031349182,0.0405037090443075,17.0,0.17,0.6999999999999895,7.299999999999995,0.0958904109589027,-0.1102946400642395,-0.4198885560035705,0.2626759850613828
oracle_topk_uniform,16,0.885,0.9704,0.4361088871955871,0.0115456771239638,17.0,0.17,7.299999999999995,7.299999999999995,1.0,-0.4198885560035705,-0.4198885560035705,1.0
