top_n,top1,top5,nll,ece,forwards_per_image,relative_compute_vs_all,selected_aug_ids
1,0.79884,0.94372,0.9509719014167786,0.08431117692619566,1.0,0.01,aug_025
2,0.8048,0.94664,0.8791611194610596,0.06438973323166368,2.0,0.02,aug_025 aug_011
4,0.81184,0.95024,0.8405582904815674,0.055500878103971446,4.0,0.04,aug_025 aug_011 aug_029 aug_021
8,0.8134,0.95068,0.8228062391281128,0.05110650423929096,8.0,0.08,aug_025 aug_011 aug_029 aug_021 aug_020 aug_008 aug_024 aug_048
16,0.81448,0.95124,0.7902819514274597,0.038288328291624756,16.0,0.16,aug_025 aug_011 aug_029 aug_021 aug_020 aug_008 aug_024 aug_048 aug_072 aug_092 aug_051 aug_010 aug_047 aug_069 aug_050 aug_086
24,0.81504,0.95024,0.774985134601593,0.03275965717315672,24.0,0.24,aug_025 aug_011 aug_029 aug_021 aug_020 aug_008 aug_024 aug_048 aug_072 aug_092 aug_051 aug_010 aug_047 aug_069 aug_050 aug_086 aug_097 aug_012 aug_089 aug_009 aug_098 aug_019 aug_005 aug_002
32,0.815,0.94996,0.7712722420692444,0.029272045934796334,32.0,0.32,aug_025 aug_011 aug_029 aug_021 aug_020 aug_008 aug_024 aug_048 aug_072 aug_092 aug_051 aug_010 aug_047 aug_069 aug_050 aug_086 aug_097 aug_012 aug_089 aug_009 aug_098 aug_019 aug_005 aug_002 aug_004 aug_079 aug_018 aug_003 aug_023 aug_006 aug_022 aug_015
48,0.8148,0.95,0.7708757519721985,0.028783430169224772,48.0,0.48,aug_025 aug_011 aug_029 aug_021 aug_020 aug_008 aug_024 aug_048 aug_072 aug_092 aug_051 aug_010 aug_047 aug_069 aug_050 aug_086 aug_097 aug_012 aug_089 aug_009 aug_098 aug_019 aug_005 aug_002 aug_004 aug_079 aug_018 aug_003 aug_023 aug_006 aug_022 aug_015 aug_090 aug_013 aug_049 aug_094 aug_093 aug_017 aug_014 aug_027 aug_007 aug_028 aug_053 aug_091 aug_085 aug_084 aug_099 aug_096
64,0.81472,0.95004,0.770943284034729,0.028700000808089952,64.0,0.64,aug_025 aug_011 aug_029 aug_021 aug_020 aug_008 aug_024 aug_048 aug_072 aug_092 aug_051 aug_010 aug_047 aug_069 aug_050 aug_086 aug_097 aug_012 aug_089 aug_009 aug_098 aug_019 aug_005 aug_002 aug_004 aug_079 aug_018 aug_003 aug_023 aug_006 aug_022 aug_015 aug_090 aug_013 aug_049 aug_094 aug_093 aug_017 aug_014 aug_027 aug_007 aug_028 aug_053 aug_091 aug_085 aug_084 aug_099 aug_096 aug_026 aug_074 aug_077 aug_083 aug_032 aug_057 aug_043 aug_016 aug_095 aug_046 aug_067 aug_088 aug_036 aug_042 aug_058 aug_044
100,0.81488,0.94984,0.7710350751876831,0.02897457683056595,100.0,1.0,aug_025 aug_011 aug_029 aug_021 aug_020 aug_008 aug_024 aug_048 aug_072 aug_092 aug_051 aug_010 aug_047 aug_069 aug_050 aug_086 aug_097 aug_012 aug_089 aug_009 aug_098 aug_019 aug_005 aug_002 aug_004 aug_079 aug_018 aug_003 aug_023 aug_006 aug_022 aug_015 aug_090 aug_013 aug_049 aug_094 aug_093 aug_017 aug_014 aug_027 aug_007 aug_028 aug_053 aug_091 aug_085 aug_084 aug_099 aug_096 aug_026 aug_074 aug_077 aug_083 aug_032 aug_057 aug_043 aug_016 aug_095 aug_046 aug_067 aug_088 aug_036 aug_042 aug_058 aug_044 aug_071 aug_030 aug_045 aug_087 aug_001 aug_034 aug_038 aug_076 aug_000 aug_054 aug_039 aug_061 aug_064 aug_073 aug_060 aug_041 aug_035 aug_031 aug_037 aug_059 aug_063 aug_033 aug_055 aug_070 aug_066 aug_065 aug_082 aug_081 aug_040 aug_075 aug_062 aug_052 aug_056 aug_080 aug_068 aug_078
