strategy,top1,top5,nll,ece,forwards_per_image,relative_compute_vs_all,top1_delta_pp_vs_clean,top1_gap_pp_to_oracle,top1_oracle_capture
clean,0.80468,0.94592,0.9394408464431764,0.0867521771347522,1.0,0.01,0.0,7.024,0.0
pairwise_nll_gain,0.82456,0.94404,0.6945898532867432,0.0283945858997106,17.0,0.17,1.988,5.036,0.28303
pairwise_top1_delta,0.82728,0.947,0.7251768708229065,0.0332610074067116,17.0,0.17,2.26,4.764,0.321754
pairwise_top1_delta_softmax_weighted,0.82828,0.94696,0.7246495485305786,0.0324487726807594,17.0,0.17,2.36,4.664,0.335991
pairwise_top1_delta_confidence_adaptive,0.82732,0.94668,0.7360468506813049,0.034437334691286,11.00512,0.1100512,2.264,4.76,0.322323
pairwise_top1_delta_k8,0.828,0.94556,0.739722490310669,0.0359456047725677,9.0,0.09,2.332,6.232,0.272303
pairwise_top1_delta_k8_softmax_weighted,0.82912,0.94564,0.7391278147697449,0.0343511644032597,9.0,0.09,2.444,6.12,0.285381
pairwise_top1_delta_k8_t025_softmax_weighted,0.83128,0.94552,0.7378776669502258,0.0329302886545658,9.0,0.09,2.660000000000007,5.903999999999998,0.310602522185895
pairwise_top1_delta_k8_confidence_adaptive,0.82812,0.9448,0.7529103755950928,0.0364064008474349,6.00256,0.0600256,2.344,6.22,0.273704
pairwise_top1_delta_k8_t025_confidence_policy,0.8276,0.94532,0.7546701431274414,0.0371668924045563,6.92936,0.0692936,2.292000000000005,6.272,0.2676319476879967
oracle_topk_uniform_k8,0.89032,0.96756,0.4335473477840423,0.0066541728539764,9.0,0.09,8.564,0.0,1.0
oracle_topk_uniform,0.87492,0.96312,0.4898453056812286,0.013518158942908,17.0,0.17,7.024,0.0,1.0
