bucket_index,confidence_min,confidence_max,image_count,k,top1,top5,nll,ece,forwards_per_image
0,0.0,0.5,434,0,0.33410138248847926,0.7119815668202765,2.620662212371826,0.02748527333209043,1.0
0,0.0,0.5,434,1,0.41244239631336405,0.7488479262672811,2.5302371978759766,0.13514909920741885,2.0
0,0.0,0.5,434,2,0.4308755760368664,0.7396313364055299,2.460784435272217,0.13467400239497285,3.0
0,0.0,0.5,434,4,0.41935483870967744,0.7488479262672811,2.406787157058716,0.10785154149382618,5.0
0,0.0,0.5,434,8,0.43317972350230416,0.7672811059907834,2.394463539123535,0.12133504318991839,9.0
0,0.0,0.5,434,16,0.4423963133640553,0.7488479262672811,2.38932728767395,0.1195407467915715,17.0
1,0.5,0.65,272,0,0.4338235294117647,0.8860294117647058,1.7565462589263916,0.13900493589394233,1.0
1,0.5,0.65,272,1,0.5367647058823529,0.8933823529411765,1.734233021736145,0.23765735492548526,2.0
1,0.5,0.65,272,2,0.5367647058823529,0.8860294117647058,1.7148884534835815,0.20383931488236956,3.0
1,0.5,0.65,272,4,0.5551470588235294,0.8823529411764706,1.6607812643051147,0.1590321669355035,5.0
1,0.5,0.65,272,8,0.5588235294117647,0.8823529411764706,1.6429206132888794,0.18417764728998437,9.0
1,0.5,0.65,272,16,0.5661764705882353,0.8933823529411765,1.6050974130630493,0.19439768314580702,17.0
2,0.65,0.75,202,0,0.5544554455445545,0.905940594059406,1.5822657346725464,0.1414713402195732,1.0
2,0.65,0.75,202,1,0.6089108910891089,0.9158415841584159,1.4518154859542847,0.24856716541960688,2.0
2,0.65,0.75,202,2,0.6435643564356436,0.905940594059406,1.4291234016418457,0.18980322542166944,3.0
2,0.65,0.75,202,4,0.6386138613861386,0.9257425742574258,1.3482856750488281,0.19785784030019646,5.0
2,0.65,0.75,202,8,0.6584158415841584,0.9158415841584159,1.308325171470642,0.16399172088592356,9.0
2,0.65,0.75,202,16,0.6534653465346535,0.9207920792079208,1.3063338994979858,0.17671657346262792,17.0
3,0.75,0.85,239,0,0.6401673640167364,0.9163179916317992,1.4652827978134155,0.16329659727327994,1.0
3,0.75,0.85,239,1,0.6694560669456067,0.9205020920502092,1.304752230644226,0.16436095342476498,2.0
3,0.75,0.85,239,2,0.6736401673640168,0.9121338912133892,1.2730904817581177,0.23815361313740077,3.0
3,0.75,0.85,239,4,0.6903765690376569,0.9288702928870293,1.20243239402771,0.21716117603260104,5.0
3,0.75,0.85,239,8,0.6778242677824268,0.9246861924686193,1.2066322565078735,0.20816469136391724,9.0
3,0.75,0.85,239,16,0.6736401673640168,0.9246861924686193,1.1840800046920776,0.20553750398268758,17.0
4,0.85,0.9,159,0,0.660377358490566,0.9308176100628931,1.3909610509872437,0.21603013846859237,1.0
4,0.85,0.9,159,1,0.7044025157232704,0.9308176100628931,1.1530104875564575,0.13221762315282282,2.0
4,0.85,0.9,159,2,0.7169811320754716,0.9308176100628931,1.1202367544174194,0.15690714795634433,3.0
4,0.85,0.9,159,4,0.6918238993710691,0.949685534591195,1.0527042150497437,0.1758083776108124,5.0
4,0.85,0.9,159,8,0.7169811320754716,0.949685534591195,1.037351369857788,0.18604172663118854,9.0
4,0.85,0.9,159,16,0.6981132075471698,0.949685534591195,1.0319550037384033,0.1890359472178813,17.0
5,0.9,0.95,237,0,0.6708860759493671,0.9578059071729957,1.4986464977264404,0.2569332447233079,1.0
5,0.9,0.95,237,1,0.6751054852320675,0.9367088607594937,1.2517378330230713,0.16249059888883985,2.0
5,0.9,0.95,237,2,0.6962025316455697,0.919831223628692,1.1955337524414062,0.1663256413322964,3.0
5,0.9,0.95,237,4,0.6919831223628692,0.9493670886075949,1.074243187904358,0.1402147402240254,5.0
5,0.9,0.95,237,8,0.7172995780590717,0.9493670886075949,0.9974411725997925,0.143263303466487,9.0
5,0.9,0.95,237,16,0.7046413502109705,0.9535864978902954,0.9894338250160217,0.14989405002775075,17.0
6,0.95,1.01,3457,0,0.9453283193520393,0.989297078391669,0.41037818789482117,0.05052510472022631,1.0
6,0.95,1.01,3457,1,0.946774660109922,0.9890078102400925,0.313064306974411,0.04094199495298995,2.0
6,0.95,1.01,3457,2,0.9476424645646514,0.988140005785363,0.295368492603302,0.0385585474957611,3.0
6,0.95,1.01,3457,4,0.9482210008678045,0.9895863465432456,0.2761058211326599,0.03813959325811652,5.0
6,0.95,1.01,3457,8,0.9476424645646514,0.9910326873011281,0.26594075560569763,0.038465747546694504,9.0
6,0.95,1.01,3457,16,0.9470639282614984,0.9907434191495517,0.25649869441986084,0.03807385362811888,17.0
