strategy,top1,top5,nll,ece,forwards_per_image,relative_compute_vs_all,score_temperature
pairwise_top1_delta_k8_t0.25,0.839,0.9562,0.6718855500221252,0.0303625271581113,9.0,0.09,0.25
pairwise_top1_delta_k8_t0.25_confidence_adaptive,0.839,0.9562,0.6718855500221252,0.0303625271581113,9.0,0.09,0.25
pairwise_top1_delta_k8_t0.25_softmax_weighted,0.8424,0.9552,0.6701157093048096,0.0288699714981019,9.0,0.09,0.25
pairwise_top1_delta_k8_t0.5,0.839,0.9562,0.6718855500221252,0.0303625271581113,9.0,0.09,0.5
pairwise_top1_delta_k8_t0.5_confidence_adaptive,0.839,0.9562,0.6718855500221252,0.0303625271581113,9.0,0.09,0.5
pairwise_top1_delta_k8_t0.5_softmax_weighted,0.8414,0.9556,0.6708448529243469,0.0306428385697305,9.0,0.09,0.5
pairwise_top1_delta_k8_t1.0,0.839,0.9562,0.6718855500221252,0.0303625271581113,9.0,0.09,1.0
pairwise_top1_delta_k8_t1.0_confidence_adaptive,0.839,0.9562,0.6718855500221252,0.0303625271581113,9.0,0.09,1.0
pairwise_top1_delta_k8_t1.0_softmax_weighted,0.8404,0.9558,0.6713033318519592,0.0297388158150017,9.0,0.09,1.0
pairwise_top1_delta_k8_t2.0,0.839,0.9562,0.6718855500221252,0.0303625271581113,9.0,0.09,2.0
pairwise_top1_delta_k8_t2.0_confidence_adaptive,0.839,0.9562,0.6718855500221252,0.0303625271581113,9.0,0.09,2.0
pairwise_top1_delta_k8_t2.0_softmax_weighted,0.84,0.9562,0.6715737581253052,0.0297857378430664,9.0,0.09,2.0
pairwise_top1_delta_k8_t4.0,0.839,0.9562,0.6718855500221252,0.0303625271581113,9.0,0.09,4.0
pairwise_top1_delta_k8_t4.0_confidence_adaptive,0.839,0.9562,0.6718855500221252,0.0303625271581113,9.0,0.09,4.0
pairwise_top1_delta_k8_t4.0_softmax_weighted,0.8396,0.9562,0.6717236042022705,0.0301425153784454,9.0,0.09,4.0
