strategy,top1_delta_vs_clean,top5_delta_vs_clean,nll_delta_vs_clean,ece_delta_vs_clean,forwards_per_image,relative_compute_vs_all
clean_center_crop,0.0,0.0,0.0,0.0,1.0,0.01
center_crop_hflip,0.003920000000000035,0.0013600000000000279,-0.03912317752838146,-0.011028692470639895,2.0,0.02
clean,0.0,0.0,0.0,0.0,1.0,0.01
fixed_light_tta,0.0038000000000000256,-0.00539999999999996,-0.08212280273437511,-0.04067430216759439,17.0,0.17
random_topk,0.0042000000000000925,-0.00047200000000002795,-0.11841812133789076,-0.05604631909039609,17.0,0.17
all_100_uniform,0.00552000000000008,0.001040000000000041,-0.1483474373817445,-0.060192698773145696,100.0,1.0
learned_topk_uniform,0.005400000000000071,0.0026399999999999757,-0.12000960111618053,-0.04357468510329719,17.0,0.17
learned_topk_softmax_weighted,0.005640000000000089,0.0024800000000000377,-0.11992132663726818,-0.0440532237127423,17.0,0.17
oracle_topk_uniform,0.07024000000000008,0.017199999999999993,-0.4495955407619478,-0.0732340188172459,17.0,0.17
learned_adaptive_uniform,0.005360000000000031,0.0026800000000000157,-0.12002903223037731,-0.04355897756993769,17.0,0.17
global_weighted_tta,0.010200000000000098,0.003920000000000035,-0.16840583086013805,-0.0577776219397783,100.0,1.0
class_weighted_tta,0.0006800000000000139,-0.0046399999999999775,-0.09967756271362316,-0.056723149528503394,100.0,1.0
ten_crop,0.009800000000000031,0.005120000000000013,-0.11522054672241222,-0.0401805496561527,10.0,0.1
