aug_id,mean_gain,median_gain,help_rate,hurt_rate,p05_gain,p90_gain,p95_gain,p99_gain,augmentation_name,transform_class,selection_frequency,oracle_frequency,global_weight,class_mean_weight,class_active_frequency,help_minus_hurt_rate,global_weight_rank,mean_gain_rank
aug_025,-0.017144227549183485,-1.1920929e-07,0.44676,0.5012,-1.284467245,0.4171789650000031,1.207585389999999,3.1149016779999994,scale_120,Affine,0.0376,0.2868,0.18250401,0.031196859,1.0,-0.05443999999999999,1,47
aug_011,-0.05122228788769098,-2.98023895e-06,0.39548,0.55916,-1.457180475,0.38124819000000215,1.151804864999999,3.0679337339999986,rotate_plus_20,Rotate,0.7534,0.2366,0.085652046,0.01939059,1.0,-0.16368,2,62
aug_029,-0.0015519050109444046,-1.1920929e-07,0.4324,0.50356,-0.6927232864999999,0.24901278500000015,0.6832881179999998,1.7571784239999884,shear_y_plus_5,Affine,0.0012,0.205,0.073057465,0.0110921385,1.0,-0.07116,3,11
aug_021,-0.01467930352579514,-1.66893605e-06,0.3938,0.55604,-1.088246635,0.33455535200000175,0.9769883124999996,2.602625121999999,scale_090,Affine,0.0458,0.1914,0.066745944,0.015924282,1.0,-0.16224,4,42
aug_020,-0.0826913999272197,-2.24116115e-05,0.3374,0.62828,-1.7223830949999999,0.34806140600000196,1.2025794299999997,3.479740302999999,scale_080,Affine,0.5432,0.1806,0.0635984,0.017421039,1.0,-0.29087999999999997,5,67
aug_008,-0.015656497890853615,-8.344656e-07,0.41188,0.53412,-1.0739118049999998,0.3392528780000008,0.9754933659999996,2.5834871269999944,rotate_minus_10,Rotate,0.0748,0.2056,0.054586858,0.017574975,1.0,-0.12224000000000002,6,44
aug_024,-0.00022164589449719755,0.0,0.44832,0.4944,-0.9609643929999999,0.33727494000000063,0.9361173899999973,2.505656016999991,scale_110,Affine,0.0,0.2428,0.044362105,0.018797185,1.0,-0.04608000000000001,7,6
aug_048,-0.010152235077478599,0.0,0.42816,0.4926,-0.4255175745,0.1103156860000004,0.3610206819999995,1.243117363999998,autocontrast_pil_cutoff_1,AutoContrast,0.1162,0.163,0.039088473,0.0084972335,1.0,-0.06444,8,39
aug_072,-0.3747012131334927,-0.00019647773,0.31392,0.63796,-3.50123821,0.2559293130000005,1.165663975,3.6978155709999894,gray_weighted,ToGray,0.0078,0.2172,0.03901546,0.033609714,1.0,-0.32404,9,92
aug_092,-0.28756663948621985,-0.0005871121,0.26124,0.71148,-3.0829173849999996,0.33261106500000165,1.456412105,4.289531783999995,jpeg_quality_15,ImageCompression,0.0212,0.1524,0.03451667,0.01573667,1.0,-0.45024,10,88
aug_051,-0.09539098504198838,-5.3644594e-06,0.37072,0.57536,-1.36373065,0.2290776780000007,0.7876289949999993,2.447804285999994,equalize_luma,Equalize,0.5028,0.2078,0.032466933,0.015443502,1.0,-0.20464,11,71
aug_010,-0.04767193708272787,-2.50342035e-06,0.397,0.55456,-1.46099805,0.3778036650000019,1.1835190449999975,3.0053024669999946,rotate_minus_20,Rotate,0.9214,0.2312,0.031225236,0.016357822,1.0,-0.15756000000000003,12,60
aug_047,-0.08566823624494047,-7.51025935e-06,0.36656,0.58472,-1.513710135,0.2953087540000002,0.9623181854999996,2.7420068039999945,autocontrast_cdf,AutoContrast,0.5902,0.2224,0.02983663,0.016310323,1.0,-0.21816000000000002,13,70
aug_069,-0.0342489318887478,-1.1920932e-07,0.42672,0.5056,-0.7453115014999999,0.1531705450000003,0.5165186499999996,1.7807810609999961,planckian_warm_cied,PlanckianJitter,0.7644,0.184,0.022358676,0.011910283,1.0,-0.07888000000000006,14,56
aug_050,-0.11697884457284669,-2.1339003999999998e-05,0.33876,0.61408,-1.7090190699999999,0.2571378920000003,0.9764285849999995,2.7576855149999973,clahe_clip_4,CLAHE,0.2462,0.2068,0.022276191,0.015397385,1.0,-0.27531999999999995,15,73
aug_086,-0.10570261681778069,-1.1802238000000001e-05,0.35752,0.59728,-1.617582345,0.25683516100000026,0.8921659275,2.7343322319999963,sharpen_medium,Sharpen,0.5008,0.2008,0.019669488,0.016661426,1.0,-0.23976000000000003,16,72
aug_097,-0.29318496006826333,-0.00107985945,0.23752,0.7334,-3.10946627,0.36331141300000025,1.4810309349999966,4.2558015599999965,downscale_033_area_linear,Downscale,0.1042,0.1274,0.019446854,0.008469237,1.0,-0.49588000000000004,17,89
aug_012,-0.12757087268007022,-2.2769479999999998e-05,0.35256,0.60944,-2.093658515,0.37829926900000127,1.309312355,3.499178597999999,rotate_minus_30,Rotate,0.5908,0.2154,0.015735399,0.016711628,1.0,-0.25688,18,75
aug_089,-0.03922484571123898,-7.3317378e-06,0.35032,0.59676,-1.19738429,0.2651540310000001,0.8900194804999993,2.6958447079999974,jpeg_quality_70,ImageCompression,0.0164,0.1522,0.012214177,0.010556503,1.0,-0.24643999999999994,19,57
aug_009,-0.016202242323645026,-5.9604736e-07,0.4158,0.53132,-1.12365091,0.3541524410000007,0.988689563,2.5582072519999963,rotate_plus_10,Rotate,0.7952,0.2168,0.009672775,0.01615219,1.0,-0.11552000000000001,20,46
aug_098,-0.6850821852308747,-0.01052146,0.21172,0.76788,-4.754525950000001,0.2648559900000006,1.5689220249999998,4.928900662999997,downscale_025_area_linear,Downscale,0.0,0.1376,0.007787586,0.018119765,1.0,-0.55616,21,94
aug_019,-0.6984795715986847,-0.00634071015,0.25712,0.72424,-4.86358843,0.18487835400000077,1.2955590749999983,4.428918209999996,safe_rotate_plus_40,SafeRotate,0.018,0.176,0.0076157423,0.011333663,1.0,-0.46712,22,96
aug_005,0.0019084968688621422,0.0,0.46736,0.47052,-0.8195872399999999,0.2915706200000003,0.8232011614999992,2.1182701629999956,square_horizontal,SquareSymmetry,0.0,0.244,0.0074832104,0.014045581,1.0,-0.003159999999999996,23,2
aug_002,-1.0008486848048523,-0.05341068,0.20528,0.77596,-5.6465094,0.16375578300000299,1.2674910399999992,4.481450179999977,square_r180,SquareSymmetry,0.001,0.1284,0.0072875633,0.013021813,1.0,-0.57068,24,97
aug_004,-1.0041919179047796,-0.05253041,0.20404,0.7764,-5.63386683,0.169873994000001,1.2986621349999996,4.350608843,square_vertical,SquareSymmetry,0.0012,0.129,0.0062910626,0.013896261,1.0,-0.57236,25,98
