epoch,train_loss,val_loss,val_spearman,val_tta_best_k,val_tta_top1,val_tta_top5,val_tta_nll,val_tta_ece,val_tta_oracle_recall
1.0,0.2954643628182122,0.2852784876204744,0.5113968434213083,16.0,0.8168,0.954,0.7605900764465332,0.0454706705778837,0.1898
2.0,0.2942031387227792,0.2850205017418801,0.5184865733490714,16.0,0.8174,0.9566,0.7499146461486816,0.0389969244122505,0.1828
3.0,0.294022832768032,0.2851104447736016,0.5214445881451233,16.0,0.8146,0.9534,0.7587500214576721,0.0381637793511151,0.1723875
4.0,0.2936053347949403,0.2853484085843533,0.5009365428852129,16.0,0.8136,0.9528,0.770566999912262,0.0434474426686763,0.1751625
5.0,0.2933745305187786,0.2852018058677263,0.4991051664080801,16.0,0.8154,0.9548,0.7728915214538574,0.0444416256994008,0.183175
6.0,0.2928564042900317,0.2853083061643793,0.5093895517572572,16.0,0.815,0.9526,0.7693890333175659,0.043464043444395,0.1815
7.0,0.292468533729212,0.2856659395030782,0.4888221342352372,16.0,0.8136,0.953,0.7719166278839111,0.0422837044246494,0.179975
8.0,0.2915793844400503,0.2863679552757287,0.4466992348809785,16.0,0.814,0.9538,0.7755974531173706,0.0466308343298733,0.1801
9.0,0.2908656668072691,0.2872371192597135,0.4696460313434842,16.0,0.8124,0.953,0.7742783427238464,0.0413209206566214,0.168775
10.0,0.2899550308529942,0.2881346046924591,0.4686997970448264,16.0,0.8128,0.9522,0.7787966728210449,0.041199579578638,0.1679125
11.0,0.288628536148574,0.2898521749656411,0.4683292962705033,16.0,0.8112,0.9532,0.7760370969772339,0.0387836190924048,0.1702625
12.0,0.2874284693227408,0.2925237630364261,0.3251791212566291,16.0,0.81,0.951,0.7950066328048706,0.0472455796308815,0.1598625
13.0,0.2865565484419417,0.2903115621095971,0.4271170232869402,16.0,0.8082,0.9542,0.7809082269668579,0.041731771954894,0.172975
14.0,0.2854181519522072,0.2902451589514938,0.414251639495922,16.0,0.812,0.9516,0.7867696285247803,0.0382074640490114,0.1597125
15.0,0.2845324670163968,0.2924916104802602,0.3648321705905697,16.0,0.809,0.951,0.7900747656822205,0.0395558280974626,0.167025
16.0,0.2834333159957831,0.2933588780557053,0.3558990068828003,16.0,0.8096,0.952,0.784789502620697,0.0402665002606808,0.1742125
17.0,0.2824383920754868,0.2951270730435094,0.3687362684101998,16.0,0.8082,0.95,0.7900575995445251,0.0354783677458762,0.1620125
18.0,0.2813836448013592,0.2956300732455676,0.3346748003099538,16.0,0.8104,0.9508,0.7942774295806885,0.0478521774977445,0.1638875
19.0,0.2805555418086128,0.2961344773633571,0.3858323059504545,16.0,0.8086,0.9522,0.7858812212944031,0.0372499794453382,0.1647875
20.0,0.2798439937468154,0.2970115689537193,0.3289293290316304,16.0,0.807,0.95,0.7875974178314209,0.0382539112865924,0.1608375
