variant,rank_weight,usefulness_head,usefulness_tau,usefulness_weight,feature_mode,target_mode,model_family,listwise_weight,listwise_top_k,best_epoch,best_val_loss,best_val_nll,val_tta_best_k,val_tta_top1,val_tta_top5,val_tta_nll,val_tta_ece,val_tta_oracle_recall
gain_only,0.0,False,0.01,0.0,image,nll_gain,image_cnn,0.0,1,1,0.1500084024347082,0.7837927937507629,16.0,0.8162,0.9554,0.7837927937507629,0.0610657451689243,0.1633625
gain_rank,0.2,False,0.01,0.0,image,nll_gain,image_cnn,0.0,1,2,0.2850510085685344,0.7486779689788818,16.0,0.8168,0.9566,0.7486779689788818,0.0409976989209651,0.1766
gain_rank_bce,0.2,True,0.01,0.05,image,nll_gain,image_cnn,0.0,1,2,0.3080865982212598,0.7511284947395325,16.0,0.818,0.9546,0.7511284947395325,0.0356758128449321,0.171375
gain_listwise_topk,0.2,False,0.01,0.0,image,nll_gain,image_cnn,0.1,16,3,0.7288011425658117,0.792788565158844,8.0,0.8074,0.9492,0.792788565158844,0.0355110787048936,0.109575
clean_logits_mlp_gain_rank,0.2,False,0.01,0.0,clean_logits,nll_gain,mlp,0.0,1,1,2.2563456694285073,0.7478473782539368,16.0,0.8182,0.9526,0.7478473782539368,0.0212440194964408,0.1601625
clean_logits_mlp_gain_listwise,0.2,False,0.01,0.0,clean_logits,nll_gain,mlp,0.1,16,1,2.3594855070114136,0.7518652677536011,16.0,0.8166,0.9536,0.7518652677536011,0.0181933312058448,0.1566625
pretrained_mlp_gain_rank,0.2,False,0.01,0.0,pretrained,nll_gain,mlp,0.0,1,1,0.2891757388909657,0.7635892033576965,16.0,0.8162,0.9528,0.7635892033576965,0.0478610985338688,0.184475
pretrained_mlp_gain_listwise,0.2,False,0.01,0.0,pretrained,nll_gain,mlp,0.1,16,5,0.7243274450302124,0.7496232390403748,16.0,0.8154,0.9548,0.7496232390403748,0.0237352276571095,0.172025
hybrid_mlp_gain_rank,0.2,False,0.01,0.0,hybrid,nll_gain,mlp,0.0,1,5,0.2886002461115519,0.7437255382537842,16.0,0.8184,0.956,0.7437255382537842,0.0426845877617597,0.1818875
hybrid_mlp_gain_listwise,0.2,False,0.01,0.0,hybrid,nll_gain,mlp,0.1,16,2,0.74284428358078,0.7494110465049744,16.0,0.8156,0.955,0.7494110465049744,0.0262514110147953,0.1631
