transform_class,candidate_count,mean_global_weight,mean_class_mean_weight,max_class_mean_weight,class_active_frequency
Affine,10,0.043849003,0.015218386,0.031196859,1.0
AutoContrast,2,0.034462553,0.012403779,0.016310323,1.0
Blur,2,0.00049389066,0.0042957673,0.004459564,1.0
CLAHE,2,0.01188812,0.013658641,0.015397385,1.0
Defocus,2,0.00057992805,0.006619458,0.007854306,1.0
Downscale,4,0.0070725717,0.0093770195,0.018119765,1.0
Enhance,1,0.0004355648,0.0052959076,0.0052959076,1.0
Equalize,1,0.032466933,0.015443502,0.015443502,1.0
GaussianBlur,3,0.0004299186,0.0047829435,0.0054028244,1.0
HueSaturationValue,8,0.0004540842,0.0071031046,0.010043932,1.0
ImageCompression,6,0.008782033,0.013159644,0.01573667,1.0
MedianBlur,2,0.003219015,0.009640155,0.013408476,1.0
MotionBlur,3,0.0003540894,0.009204344,0.011572568,1.0
PlanckianJitter,6,0.0040480373,0.007552607,0.011910283,1.0
RGBShift,6,0.00038277966,0.0061932052,0.00798414,1.0
RandomBrightnessContrast,10,0.00041364614,0.005759624,0.009418935,1.0
RandomGamma,4,0.00041371892,0.004983362,0.0064285197,1.0
RandomToneCurve,3,0.00043018602,0.0047523524,0.0059641427,1.0
RingingOvershoot,1,0.0006204998,0.004413683,0.004413683,1.0
Rotate,10,0.020616941,0.015496641,0.01939059,1.0
SafeRotate,4,0.0034831124,0.013172749,0.015850363,1.0
Sharpen,2,0.01022876,0.0148518,0.016661426,1.0
SquareSymmetry,5,0.005131672,0.0121801365,0.014045581,1.0
ToGray,1,0.03901546,0.033609714,0.033609714,1.0
UnsharpMask,1,0.00041970718,0.0042297835,0.0042297835,1.0
identity,1,0.00041315518,0.0038120302,0.0038120302,1.0
